URL,Title,Price,Violation,Evidence,Detected At
https://www.ebay.de/itm/358102127530,"Yu-Gi-Oh! Blue Eyes White Dragon LOB-E001 1st Edition Ultra Rare PSA",€4.282,02,COUNTERFEIT_RISK,"1st Edition vintage card for $4.28202 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/376949819514,"2022 Yu-Gi-Oh! 1st Ed Ghosts/Past 2nd Haunting 175 Blue-Eyes White Dragon PSA 10",€4.497,03,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $4.49703 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/267452010806,"PSA 10 GEM MINT Blue-Eyes Toon Dragon MRL-000 1st Edition MRL Yugioh Karte 563",€2.524,39,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $2.52439 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.com/itm/236635239707,"Black Lotus - Collector's Edition CE Power 9 Beta Reprint NM/M *CCGHouse* #WM",$2,900.00,COUNTERFEIT_RISK,"Title contains counterfeit indicator: reprint",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/376971556816,"Yu-Gi-Oh! 1998 Japanese Bandai 3rd Gen English Blue-Eyes White Dragon PSA 10",€4.191,15,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $4.19115 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/127524099846,"⭐!!SEHR SELTEN!! BLUE EYES WHITE DRAGON LOB 1ST EDITION WAVY, FADED, SHIFT NAME CGC9",€20.000,00,COUNTERFEIT_RISK,"1st Edition vintage card for $20 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/236076594307,"BLUE-EYES WHITE DRAGON ULTRA RARE 1ST EDITION PSA 10 GEM MINT",€16.000,00,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $16 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/376998154320,"1996 Pokemon Japanese Charizard Holo #6 - PSA 10 GEM MT - Rare Karte",€2.800,00,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $2.8 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/377004145792,"Neues Angebot1996 Pokemon Japanese Charizard Holo #6 - PSA 10 GEM MT - Rare Karte",€2.600,00,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $2.6 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.com/itm/287167385529,"Yu-Gi-Oh! Blue-Eyes White Dragon Legend/Blue-Eyes 2010-17 Reprint LOB-001 PSA 10",$2,500.00,COUNTERFEIT_RISK,"Title contains counterfeit indicator: reprint",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/406720873679,"PSA 10 YuGiOh 2002 Blue-Eyes White Dragon SDK-001 1st Edition Asian English",€7.400,00,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $7.4 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/205974553595,"YuGiOh 2002 LOB-001 Blue-Eyes White Dragon Wavy 1st Edition English",€4.000,00,COUNTERFEIT_RISK,"1st Edition vintage card for $4 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/284624335025,"YUGIOH BPT-009 BLUE EYES WHITE DRAGON SECRET RARE HOLO PSA 10 GEM MINT #44796089",€2.636,18,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $2.63618 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/127697730760,"Yu-Gi-Oh! Exodia The Forbidden One LOB-124 1st Edition Ultra Rare PSA 10 Wavy",€12.922,12,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $12.92212 — almost certainly counterfeit; 1st Edition vintage card for $12.92212 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/177866502628,"Yu-Gi-Oh! 1st Edition LOB - Blue-Eyes White Dragon PSA 8 & Dark Magician PSA 9",€5.724,93,COUNTERFEIT_RISK,"1st Edition vintage card for $5.72493 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/227228513449,"YuGiOh! 1st Ed Exodia The Forbidden One LOB PSA 10 Gem Mint Wavy Strong 10",€11.629,91,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $11.62991 — almost certainly counterfeit; 1st Edition vintage card for $11.62991 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/376794489786,"PSA 10 1998 Blue-Eyes White Dragon 118 Yu-Gi-Oh Bandai Carddass English Vintage",€3.272,74,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.27274 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/376992244638,"Yu-Gi-Oh! 2002 LOB 1st Edition #124 Exodia The Forbidden One PSA 10 GEM MINT",€6.307,72,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $6.30772 — almost certainly counterfeit; 1st Edition vintage card for $6.30772 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/287075433058,"Blue Eyes White Dragon LOB-001 Ultra Rare Unlimited Yugioh PSA 10 *224",€2.535,79,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $2.53579 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/257396692778,"PSA 10 Mega Charizard X ex MUR 116/080 Inferno X M2 Pokemon Karte Japanese 2025",€3.000,00,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/287174380804,"Charizard 276/XY-P PSA 10 - Game Art Collection Promo Japanese Pokemon Card Game",€6.547,20,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $6.5472 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/127726303434,"PSA 10 Blue-Eyes Ultimate Dragon JMP-EN005 Secret Rare Yu-Gi-Oh! *LOW POP*",€2.561,42,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $2.56142 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/389716437151,"Yu-Gi-Oh! 1998 Japanese Bandai 3rd Gen English Blue-Eyes White Dragon PSA 10",€5.944,18,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $5.94418 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/127463865914,"YuGiOh PSA 9 - Red-Eyes Black Dragon LOB-070 1st Ed. Ultra Rare 2002 LEGEND OF",€3.015,15,COUNTERFEIT_RISK,"1st Edition vintage card for $3.01515 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/298031993806,"Yu-Gi-Oh 2002! LOB-LEGEND OF BLUE EYES WHITE DRAGON #005 DARK MAGICIAN PSA 10",€4.307,37,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $4.30737 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/297716866042,"2000 Yu-Gi-Oh! JPN DUNGEON DICE MONSTERS BOOSTER 1 BLUE-EYES WHITE DRAGON PSA 10",€5.167,99,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $5.16799 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/297750906196,"Yu-Gi-Oh 2012! GOLD SER: HAUNTED MINE GHOST RARE BLUE-EYES WHITE DRAGON PSA 10",€7.753,26,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $7.75326 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/406086618004,"Left Arm of the Forbidden One Yugioh 2002 LOB 1st Legend Blue Eyes 123 PSA 10",€3.874,96,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.87496 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/306647757725,"1998 Yu-Gi-Oh! JPN BANDAI - 1. GENERATION #9 BLUE-EYES WHITE DRAGON PSA 10",€4.320,77,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $4.32077 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
